,age,year,L,D
1,0,1933,997735.13,68438.11
2,1,1933,1028926.84,10329.16
3,2,1933,1100519.76,5140.05
4,3,1933,1128155.35,3759.88
5,4,1933,1156106.87,2932.59
6,5,1933,1212990.41,2537.53
7,6,1933,1231712.01,2337.76
8,7,1933,1240434.06,2163.9
9,8,1933,1249385.84,2015.97
10,9,1933,1253920.38,1893.96
11,10,1933,1257681.73,1805.52
12,11,1933,1264925.74,1781.24
13,12,1933,1254860.42,1828.76
14,13,1933,1229827.98,1948.1
15,14,1933,1205775.31,2139.25
16,15,1933,1186650.36,2388.83
17,16,1933,1173003.22,2643.37
18,17,1933,1163471.57,2889.52
19,18,1933,1154721.7,3127.25
20,19,1933,1144875.83,3356.57
21,20,1933,1133198.74,3570.47
22,21,1933,1118996.36,3740.8
23,22,1933,1102706.25,3860.55
24,23,1933,1085725.66,3929.71
25,24,1933,1068816.74,3948.29
26,25,1933,1051754.16,3928.04
27,26,1933,1034397.74,3915.97
28,27,1933,1017017.29,3923.84
29,28,1933,1000033.4,3951.64
30,29,1933,983643.3,3999.39
31,30,1933,967829.98,4070.24
32,31,1933,952589.93,4176.88
33,32,1933,937916.6,4322.47
34,33,1933,923266.39,4507.02
35,34,1933,909373.75,4730.51
36,35,1933,900193.62,4986.16
37,36,1933,898887.79,5246.75
38,37,1933,903635.28,5505.47
39,38,1933,910484.28,5762.35
40,39,1933,916094.24,6017.36
41,40,1933,915256.14,6273.76
42,41,1933,903620.98,6544.53
43,42,1933,883127.57,6832.9
44,43,1933,859114.78,7138.91
45,44,1933,834457.49,7462.52
46,45,1933,810527.85,7800.95
47,46,1933,788392.28,8143.05
48,47,1933,767372.31,8486.01
49,48,1933,745728.32,8829.84
50,49,1933,723032.78,9174.55
51,50,1933,700087.53,9512.52
52,51,1933,677626.68,9813.41
53,52,1933,655697.29,10069.59
54,53,1933,634061.28,10281.08
55,54,1933,612263.81,10447.87
56,55,1933,589307.72,10592.71
57,56,1933,564497.76,10806.56
58,57,1933,538326.96,11112.17
59,58,1933,511742.14,11509.55
60,59,1933,485451.43,11998.68
61,60,1933,460615.93,12541.41
62,61,1933,438057.35,12985.15
63,62,1933,417238,13291.74
64,63,1933,397095.6,13461.18
65,64,1933,377048.91,13493.46
66,65,1933,356337.61,13430.41
67,66,1933,334322.51,13439.23
68,67,1933,311414.09,13561.72
69,68,1933,288467.37,13797.91
70,69,1933,266065.82,14147.76
71,70,1933,245023.27,14555.96
72,71,1933,226033.03,14801.26
73,72,1933,208808.06,14828.31
74,73,1933,192528.42,14637.12
75,74,1933,177345.1,14227.68
76,75,1933,163448.51,13632.14
77,76,1933,144666.36,12979.02
78,77,1933,126433.95,12300.46
79,78,1933,109191.86,11596.44
80,79,1933,93367.43,10867
81,80,1933,79326.12,10111.03
82,81,1933,66857.09,9324.3
83,82,1933,56007.77,8505.7
84,83,1933,46497.71,7655.27
85,84,1933,38118.91,6773
86,85,1933,30790.67,5874.18
87,86,1933,24510.66,5020.06
88,87,1933,19204.72,4225.92
89,88,1933,14801.58,3491.77
90,89,1933,11224.86,2817.62
91,90,1933,8380.15,2208.48
92,91,1933,6189.27,1684.4
93,92,1933,4526.49,1250.41
94,93,1933,3287.57,906.52
95,94,1933,2368.99,652.69
96,95,1933,1681.01,479.17
97,96,1933,1180.05,346.72
98,97,1933,837.31,245.55
99,98,1933,633.34,175.66
100,99,1933,498.01,137.05
101,0,1933,361.19,143.2
102,1,1933,244.48,102.06
103,2,1933,163.95,71.89
104,3,1933,107.53,50.04
105,4,1933,69.44,34.42
106,5,1933,44.42,23.39
107,6,1933,28.14,15.7
108,7,1933,17.81,10.41
109,8,1933,10.64,6.82
110,9,1933,6.05,4.41
111,10,1933,6.26,6.39
112,0,1934,977055.05,74046.9
113,1,1934,974944.83,10992.38
