"","gender","age","year","improvement"
"1","male",18,1951,-0.0156
"2","male",19,1951,-0.0156
"3","male",20,1951,-0.0156
"4","male",21,1951,-0.0149
"5","male",22,1951,-0.0124
"6","male",23,1951,-0.0085
"7","male",24,1951,-0.0033
"8","male",25,1951,0.0026
"9","male",26,1951,0.0089
"10","male",27,1951,0.0152
"11","male",28,1951,0.0211
"12","male",29,1951,0.0264
"13","male",30,1951,0.0309
"14","male",31,1951,0.0345
"15","male",32,1951,0.0372
"16","male",33,1951,0.039
"17","male",34,1951,0.0399
"18","male",35,1951,0.0402
"19","male",36,1951,0.0398
"20","male",37,1951,0.0388
"21","male",38,1951,0.0374
"22","male",39,1951,0.0357
"23","male",40,1951,0.0338
"24","male",41,1951,0.032
"25","male",42,1951,0.0301
"26","male",43,1951,0.0284
"27","male",44,1951,0.0268
"28","male",45,1951,0.0253
"29","male",46,1951,0.0239
"30","male",47,1951,0.0225
"31","male",48,1951,0.0212
"32","male",49,1951,0.02
"33","male",50,1951,0.0189
"34","male",51,1951,0.018
"35","male",52,1951,0.0173
"36","male",53,1951,0.0168
"37","male",54,1951,0.0164
"38","male",55,1951,0.016
"39","male",56,1951,0.0157
"40","male",57,1951,0.0152
"41","male",58,1951,0.0146
"42","male",59,1951,0.0139
"43","male",60,1951,0.013
"44","male",61,1951,0.012
"45","male",62,1951,0.0109
"46","male",63,1951,0.0099
"47","male",64,1951,0.0089
"48","male",65,1951,0.0082
"49","male",66,1951,0.0077
"50","male",67,1951,0.0075
"51","male",68,1951,0.0076
"52","male",69,1951,0.008
"53","male",70,1951,0.0085
"54","male",71,1951,0.0091
"55","male",72,1951,0.0097
"56","male",73,1951,0.0102
"57","male",74,1951,0.0105
"58","male",75,1951,0.0106
"59","male",76,1951,0.0106
"60","male",77,1951,0.0103
"61","male",78,1951,0.0098
"62","male",79,1951,0.0092
"63","male",80,1951,0.0085
"64","male",81,1951,0.0077
"65","male",82,1951,0.0069
"66","male",83,1951,0.006
"67","male",84,1951,0.005
"68","male",85,1951,0.0039
"69","male",86,1951,0.0026
"70","male",87,1951,0.0012
